municipality,name,facility_type,address,neighborhood,cep,phone,email,opening_hours,categories,source
Belo Horizonte,CRAS Vila Nossa Senhora de Fátima (Belo Horizonte),CRAS,"Rua Dona Benta, 145",Nossa Senhora de Fatima,30250-498,(31) 32779913,cras.vilafatima@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Vila São José (Belo Horizonte),CRAS,"Rua Joaquim José Ribeiro, 50",Manacás,30840-810,(31) 32777149,cras.saojose@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Vila Senhor dos Passos (Belo Horizonte),CRAS,"Rua Evaristo da Veiga, 239",Senhor dos Passos,30210-300,(31) 32776119,cras.senhordospassos@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Vista Alegre I (Belo Horizonte),CRAS,"Rua Aguanil, 425",Vista Alegre,30518-000,(31) 93835129,crasvistaalegre@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Zilah Spósito (Belo Horizonte),CRAS,"Rua Coquilho, 75",Zilah Spósito,31748-945,(31) 32771848,cras.zilahsposito@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Oriente,CRAS GIRASSOL - Unidade I (Perpétuo Socorro) (Belo Oriente),CRAS,"Avenida Milton Campos, 15",Perpétuo Socorro,35196-000,(31) 32401149,crasps@belooriente.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Oriente,CRAS Girassol - Unidade 2 (B.J.Bagre) (Belo Oriente),CRAS,"Avenida Raimundo Leonídio de Almeida, 405",Milagres,35195-000,(31) 999258933,crassede@belooriente.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Oriente,CRAS Girassol - Unidade 3 (S.S. Braúnas) (Belo Oriente),CRAS,"Praça São Sebastião, 46",São Sebastião de Braunas,35195-000,(31) 999854787,crasps@belooriente.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Oriente,CRAS Girassol - Unidade 4 (Sede) (Belo Oriente),CRAS,"Rua Nossa Senhora da Piedade, 6",Centro de Belo Oriente,35195-000,(31) 997959723,crassede@belooriente.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Vale,CRAS Belo Vale,CRAS,"Avenida Tocantins, 297",Centro,35473-000,(31) 37341418,ssocial.pmbelovale@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Berilo,CRAS Sede (Berilo),CRAS,"Rua Vereador Teodoro Vieira de Souza, 1",Dom Sivestre,39640-000,(33) 997075139,crasberilomg@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Berilo,CRAS Leliveldia (Berilo),CRAS,"Rua 32.0, 1",Centro,39640-000,(33) 997074060,crasleliveldia2017@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Berizal,CRAS Berizal,CRAS,"Rua Bahia, 35",Planalto,39555-000,(38) 997417873,crasberizalmg@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bertópolis,CRAS Bertópolis,CRAS,"Avenida Governador Valadares, 755",Centro,39875-000,(33) 999649346,social@bertopolis.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Icaivera (Betim),CRAS,"Rua Amongueaba, 167",Icaivera,32639-158,(31) 35311651,semas.crasnorte@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Alterosas I (Betim),CRAS,"Rua Circular, 369",Industrial Sao Pedro,32673-114,(31) 35915645,semas.crasalterosasI@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Alterosas Ii (Betim),CRAS,"Rua Jamour, 81",Jardim Alterosas,32670-660,(31) 35923823,semas.crasalterosas2@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Alto Boa Vista (Betim),CRAS,"Rua Recanto do Sossego, 509",Alto Boa Vista,32641-278,(31) 35967743,semas.crasabv@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Bandeirinhas (Betim),CRAS,"Rua Fausto Ribeiro Silva, 576",Bandeirinhas,32541-000,(31) 35968198,semas.crasbandeirinhas@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Citrolandia (Betim),CRAS,"Rua Aracaju, 146",Varzea,32641-856,(31) 35961896,semas.crascitrolandia@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Cruzeiro do Ptb (Betim),CRAS,"Rua Raymundo Gabriel de Rezende, 220",Conjunto Habitacional José Gomes de Castro,32661-626,(31) 3593-4392,semas.crascruzeiro@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Guanabara (Betim),CRAS,"Rua Joaquim Cesário Resende, 118",Guanabara,32667-022,(31) 35935010,semas.crasguanabara@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Imbiruçu (Betim),CRAS,"Avenida Nova York, 341",Capelinha,32677-164,(31) 35976423,semas.crasimbirucu@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Jardim Perla (Betim),CRAS,"Rua Pitangui, 353",Vila Cristina,32686-320,(31) 35927842,semas.crasjardimperla@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Norte (Betim),CRAS,"Avenida Quatro, 3",Vila das Flores,32605-245,(31) 35957793,semas.crasnorte@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Petrovale (Betim),CRAS,"Rua Marrocos, 100",Petrovale,32668-094,(31) 35942420,semas.craspetrovale@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Sao Joao (Betim),CRAS,"Rua Tavira, 241",São João,32655-616,(31) 35931392,semas.crassaojoao@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Teresopolis (Betim),CRAS,Rua Gaturama,Jardim Teresopolis,32680-130,(31) 35915604,semas.crasteresopolis@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Vianopolis (Betim),CRAS,"Rua Araxá, 450",Marimbá,32623-226,(31) 35963046,semas.crasvianopolis@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Betim,CRAS Vila Recreio (Betim),CRAS,"Rua Liberdade, 65",Jardim Teresopolis,32682-999,(31) 35948595,semas.crasvilarecreio@betim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bias Fortes,CRAS Bias Fortes,CRAS,"Rua Prefeito Odilon de Oliveira Fonseca, 70",Centro,36230-000,(32) 34540907,biasfortescras@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bicas,CRAS Bicas,CRAS,"Rua Jose Pinto Soares, 171",Centro,36600-050,(32) 32716657,cras@bicas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Biquinhas,CRAS Biquinhas,CRAS,"Rua Gustavo Capanema, 22",Centro,35621-000,(37) 31129885,crasbiquinhas@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Boa Esperança,"CRAS I - ""Gleice Maria Junqueira Chaves"" (Boa Esperança)",CRAS,"Rua Geraldo Lopes, 29",Centenario,37170-000,(35) 22150099,cras01@boaesperanca.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Boa Esperança,"CRAS II - ""José Afonso de Rezende"" (Boa Esperança)",CRAS,"Rua Mato Grosso, 382",Maringá,37170-000,(35) 22150098,cras02@boaesperanca.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bocaina de Minas,CRAS Bocaina de Minas,CRAS,"Avenida Álvaro Benfica, 170",Centro,37340-000,(32) 32941427,sec_ass.socialbm@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bocaiúva,CRAS Bocaiúva,CRAS,"Rua Vereador Antônio Augusto Figueiredo, 208",Esplanada,39390-000,(38) 32515594,cras1@yahoo.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bocaiúva,CRAS Bocaiúva - Pernambuco,CRAS,"Rua Jk, 606",Pernambuco,39390-000,(38) 32514365,craspernambuco@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bocaiúva,CRAS Renascer Dolabela (Bocaiúva),CRAS,Praça do Hospital,Centro,39390-000,(38) 999334392,crasrenascerdolabela@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bocaiúva,CRAS Rural (Bocaiúva),CRAS,"Rua Flaminio Freire, 247",Pernambuco,39390-000,(38) 32512395,boccrasrural@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bom Despacho,CRAS Quenta Sol / Rosário (Bom Despacho),CRAS,"Avenida Dr. Juca, 783",Realengo,35630-086,(37) 35161215,cras-qr@pmbd.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bom Despacho,CRAS Região Leste - Ana Rosa (Bom Despacho),CRAS,"Rua Cruz do Monte, 55",Ana Rosa,35632-066,(37) 35227653,cras-ac@pmbd.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bom Despacho,CRAS Região Norte - Bo (Bom Despacho),CRAS,"Rua Picão Camacho, 500",Ozanan,35636-188,(37) 35227329,cras-bo@pmbd.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bom Despacho,CRAS Região Oeste - Sv (Bom Despacho),CRAS,"Rua Alisson Justino de Souza, 1009",São Vicente,35634-230,(37) 35227613,cras-sv@pmbd.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bom Jardim de Minas,CRAS Bom Jardim de Minas,CRAS,"Praça Presidente Vargas, 11",Centro,37310-000,(32) 20285205,acaosocial@bomjardimdeminas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bom Jesus da Penha,CRAS Bom Jesus da Penha,CRAS,"Rua Domingos Barulho, 74",Centro,37948-000,(35) 35631414,cras@bomjesusdapenha.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bom Jesus do Amparo,CRAS Girassol (Bom Jesus do Amparo),CRAS,"Rua Professora Maria Ligória Bicalho, 147",Centro,35908-000,(31) 38331304,cras@bomjesusdoamparo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bom Jesus do Galho,CRAS Bom Jesus do Galho,CRAS,"Rua Abrão José Simão, 110",Santa Terezinha,35340-000,(33) 33541350,cras_bomjesusdogalho@yahoo.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bom Jesus do Galho,CRAS Revés do Belém (Bom Jesus do Galho),CRAS,"Rua Lírios, 133",Revés do Belém,35340-000,(31) 988818025,revescras@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bom Repouso,CRAS Prefeito Sebastião Ilto de Andrade (Bom Repouso),CRAS,"Rua Tiradentes, 20",Vila Nossa Senhora do Rosario,37610-000,(35) 39490535,assistenciasocialbr@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bom Sucesso,CRAS Padre José Elias Negreiros (Bom Sucesso),CRAS,"Avenida Cel. Antonio Caetano, 598",Palmeiras,37220-000,(35) 38413722,centroreferenciabs@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bonfim,CRAS Bonfim,CRAS,"Avenida Governador Benedito Valadares, 147",Centro,35480-000,(31) 35761451,assistenciasocial@prefeiturabonfim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bonfinópolis de Minas,CRAS Bonfinópolis de Minas,CRAS,"Rua José Camilo de Souza Primo, 520",Jardim Cinelandia,38650-000,(38) 997547646,pref.acaosocial@bonfinopolis.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bonito de Minas,CRAS Bonito de Minas,CRAS,Rua Ranulfo Correia Saraiva,Centro,39490-000,(38) 36256220,cras@bonitodeminas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Borda da Mata,CRAS Sebastiana Marques (Borda da Mata),CRAS,"Avenida João Olívio Megale, 915",Nossa Senhora Aparecida,37564-000,(35) 35920184,cras@bordadamata.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Botelhos,CRAS Botelhos,CRAS,"Praça São Benedito, 25",Centro,37720-000,(35) 37412606,cras@botelhos.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Botumirim,CRAS Botumirim,CRAS,"Rua Tito Maria, 28",Centro,39596-000,(38) 32551293,crasbotumirim@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Brás Pires,CRAS Brás Pires,CRAS,Rua José Colombo Rivelli,Centro,36542-000,(32) 984551741,assistenciasocial@braspires.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Brasilândia de Minas,CRAS Brasilândia de Minas,CRAS,"Rua Maria de Lurdes, 78",Porto,38779-000,(38) 99984407,cras1@brasilandiademinas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Brasília de Minas,CRAS Marlene Afonso Ruas (Brasília de Minas),CRAS,"Avenida Brasil, 1262",Cristina Rocha,39330-000,(38) 32312658,cras@brasiliademinas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Brasília de Minas,CRAS Pedro Bento Dias (Brasília de Minas),CRAS,"Rua Lontra, 54",Centro,39330-000,(38) 32311579,craspedrob@brasiliademinas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Brazópolis,CRAS Professora Julieta Alvarenga Chaves da Silveira (Brazópolis),CRAS,"Rua Sebastião Tobias Rosa,, 241",Horizonte Azul,37530-000,(35) 36412034,crasbrazopolis@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Braúnas,CRAS Casa da Cidadania (Braúnas),CRAS,"Rua João Emiliano, 150",Centro,35189-000,(33) 998198421,crascidadania@braunas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Brumadinho,CRAS Aranha (Brumadinho),CRAS,"Rua Dalva, 105",Aranha,32493-062,(31) 998486298,cras.aranha@brumadinho.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Brumadinho,CRAS Casa Branca (Brumadinho),CRAS,"Rua Das Quaresmeiras, 117",Jardim Casa Branca,32488-270,(31) 971373052,cras.casabranca@brumadinho.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Brumadinho,CRAS Centro (Brumadinho),CRAS,"Rua Aristides Passos, 168",Centro,32480-036,(31) 35713042,crascentro@brumadinho.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Brumadinho,CRAS Cohab (Brumadinho),CRAS,"Rua Belmira da Silva Moreira, 85",Conj Habt Maria Ana de Souza (conceição de Itaguá),32497-110,(31) 997588003,crascohab@brumadinho.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bueno Brandão,CRAS Bueno Brandão,CRAS,"Rua Coronel Ramalho, 171",Centro,37578-000,(35) 998151354,cras@buenobrandao.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Buenópolis,CRAS Buenópolis,CRAS,"Rua Latif Mansur, 193",Centro,39230-000,(38) 37561504,crasbue@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bugre,CRAS Casa da Família (Bugre),CRAS,"Rua Alcides Costa, 105",Centro,35193-000,(33) 33558038,smasocial.bugre@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Buritis,CRAS Aconchego (Buritis),CRAS,"Rua Serra Bonita, 25",Centro,38660-000,(38) 36625245,cras@buritis.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Buritizeiro,CRAS São Francisco (Buritizeiro),CRAS,"Avenida Brasil, 476",São Francisco,39280-000,(38) 37422277,crasdeburitizeiromg@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cabeceira Grande,CRAS Palmital de Minas (Cabeceira Grande),CRAS,"Rua Juvencio Martins Ferreira, 773",Centro,38625-000,(38) 36741348,crascabeceiragrande@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cabeceira Grande,CRAS 1 (Cabeceira Grande),CRAS,Avenida Central,Centro,38625-000,(38) 36778036,crascabeceiragrande@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cabo Verde,CRAS Casa da Familia (Cabo Verde),CRAS,"Rua Carlos Vieira de Oliveira, 89",Polengui,37880-000,(35) 37361370,cras@caboverde.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cachoeira da Prata,CRAS Cachoeira da Prata,CRAS,"Avenida Getulio Vargas, 269",Centro,35765-000,(31) 37161213,social@cachoeiradaprata.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cachoeira de Minas,CRAS Cachoeira de Minas,CRAS,"Rua Cel. Portugal, 166",Centro,37545-000,(35) 34721561,cras@cachoeirademinas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cachoeira de Pajeú,CRAS Cachoeira de Pajeú,CRAS,"Rua Propércio de Almeida, 16",Centro,39980-000,(33) 88124209,smas_cpajeu@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cachoeira Dourada,CRAS Cachoeira Dourada,CRAS,"Avenida 3.0, 29",Centro,38370-000,(34) 35145041,smas@cachoeiradourada.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Caetanópolis,CRAS Professora Francisca Moreira Barbosa (Caetanópolis),CRAS,"Rua Quintiliano Mascarenhas, 276",Nossa Senhora das Graças,35770-000,(31) 984154057,cras@caetanopolis.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Caeté,CRAS Bonsucesso (Caeté),CRAS,Avenida Francisco de Paula Castro,Bonsucesso,34800-000,(31) 998382231,crascaetemg@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Caeté,CRAS Rancho Novo (Caeté),CRAS,"Rua Geraldo Margarido, 259",Distrito Rancho Novo,34800-000,(31) 36526025,crasranchonovo25@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Caeté,CRAS São Geraldo (Caeté),CRAS,"Rua Vereador Rogério Nunes de Melo, 591",Emboabas,34800-000,(31) 36519194,cras_saogeraldo@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Caiana,CRAS Caiana,CRAS,"Rua Antonio Zanon, 141",Centro,36832-000,(32) 37451286,smscaiana@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cajuri,CRAS Abrao Daibes (Cajuri),CRAS,"Praça Capitão Arnaldo Dias de andrade, 45",Centro,36560-000,(31) 38981391,social@cajuri.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Caldas,CRAS Maria Ophélia Pacheco Paschoal (Caldas),CRAS,"Praça Dr. João Batista Kersul de Brito, 30",Centro,37780-000,(35) 33100563,sdsc.caldas.mg@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Camacho,CRAS Casa das Famílias de Camacho (Camacho),CRAS,"Rua Zico Teixeira, 109",Centro,35555-000,(37) 34390003,crascamachomg@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Camanducaia,"CRAS ""Adolfina de Faria Santos"" (Camanducaia)",CRAS,"Praça Dr. Benjamin Guilherme de Macedo, 58",Centro,37650-000,(35) 34332997,alessandra.cras@camanducaia.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cambuí,CRAS Cambuí,CRAS,"Rua Vereador Benedito Artur de Mello, 230",Vila Sanya Cruz,37600-000,(35) 34311862,cras@prefeituradecambui.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cambuquira,CRAS Mais Apoio As Famílias (Cambuquira),CRAS,"Travessa Toninho Gato, 27",Figueira,37420-000,(35) 34670961,assistenciasocial@cambuquira.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cambuquira,CRAS Ponto de Apoio Marimbeiro (Cambuquira),CRAS,"Rua Ceara, 183",Marimbeiro,37420-000,(35) 34670961,assistenciasocial@cambuquira.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campanário,CRAS Campanário,CRAS,"Rua Vereador Jorge Pereira, 89",Centro,39835-000,(33) 35131511,crascampanario2025@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campanha,CRAS Almerinda Ferreira (Campanha),CRAS,"Rua Toledo Piza, 626",São Cristóvão,37400-000,(35) 998247329,crascampanhamg@yahoo.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campestre,CRAS Centro (Campestre),CRAS,"Rua Joaquim Ramos, 100",Nossa Senhora Aparecida,37730-000,(35) 37431788,crasjosefinasantos.campestre@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campina Verde,CRAS Campina Verde,CRAS,"Avenida Santa Catarina, 58",Alvorada,38270-000,(34) 34121256,cras@campinaverde.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campo Azul,CRAS Campo Azul,CRAS,"Avenida Joao Antonio de Almeida, 580",Centro,39338-000,(38) 32318141,crasrosanicunha2025@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campo Belo,CRAS Campo Belo,CRAS,"Avenida Prefeito Wanderley Luiz Maia, 580",Vila Senhor Bom Jesus,37270-000,(35) 38322105,crassul@campobelo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campo Belo,CRAS Campo Belo - São Benedito,CRAS,"Rua Gibram Francisco, 320",São Benedito,37270-000,(35) 38315195,crasnorte@campobelo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campo Belo,CRAS Campo Belo - Jardim América,CRAS,"Rua Uruguai, 465",Jardim América,37270-000,(35) 38322357,crasleste@campobelo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campo do Meio,CRAS Casa das Famílias (Campo do Meio),CRAS,"Rua Jose Miguel Vilela, 256",Centro,37165-000,(35) 38571592,pmcmsocial@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campo Florido,CRAS Jardim Boa Vista (Campo Florido),CRAS,"Rua Santa Catarina, 173",Jardim Boa Vista,38130-000,(34) 33220281,cras@campoflorido.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campo Florido,CRAS Campo Florido,CRAS,"Rua Ituiutaba, 65",Vila Junqueira,38130-000,(34) 33221708,cras@campoflorido.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campos Altos,CRAS Boa Esperança (Campos Altos),CRAS,"Rua Dr. Rubens Ribeiro da Silva, 191",Boa Esperança,38970-000,(37) 34269179,cras@camposaltos.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Campos Gerais,CRAS Campos Gerais,CRAS,"Rua Coronel Carlos Caiafa, 843",Centro,37160-000,(80) 00354504,crascsgs@yahoo.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cana Verde,CRAS Cana Verde,CRAS,"Rua Carmelita Carvalho Garcia, 345",Centro,37267-000,(35) 997000448,cras@canaverde.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Canaã,CRAS Bem Viver (Canaã),CRAS,Avenida Pedro Dias Lopes,Novo Horizonte,36592-000,(31) 984575942,crasbemviver@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Canápolis,CRAS Canápolis,CRAS,"Rua 6.0, 360",Centro,38380-000,(34) 32663532,crascanapolis2016@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Candeias,CRAS Candeias,CRAS,"Rua Dona Laloa, 18",Alto do Cruzeiro,37280-000,(35) 34750308,crascandeiasmg@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cantagalo,CRAS Casa das Familias (Cantagalo),CRAS,"Avenida Peçanha, 252",Centro,39703-000,(33) 999854724,assistenciasocial@cantagalo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Caparaó,CRAS Espaço das Famílias (Caparaó),CRAS,"Rua Júlio de Assis, 122",Centro,36834-000,(32) 37471414,crascaparao@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Capela Nova,CRAS Capela Nova,CRAS,"Rua Taquaral, 19",Centro,36290-000,(31) 999244948,assistenciasocial@capelanova.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Capelinha,CRAS Maria Baiana (Capelinha),CRAS,"Rua Matilde Evaristo de Souza, 56",Água Santa,39681-126,(33) 35163393,crasmariabaiana@yahoo.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Capelinha,CRAS Pedro Novato (Capelinha),CRAS,"Rua Polonia, 21",Jardim Aeroporto,39680-000,(33) 35164006,craspedronovato@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Capelinha,CRAS Vista Alegre (Capelinha),CRAS,"Rua Santa Cecília, 439",Maria Lúcia,39683-024,(33) 35164003,crascapelinha@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Capetinga,CRAS Casa das Familias (Capetinga),CRAS,"Rua Horácio Faleiros, 380",Centro,37993-000,(35) 20230001,cras@capetinga.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Capim Branco,CRAS Capim Branco,CRAS,"Rua Saturnino Ribeiro Luz, 75",Represa,35730-000,(31) 984367445,cras@capimbranco.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Capinópolis,CRAS Capinópolis,CRAS,"Avenida Vicente de Paula Fontoura, 83",Centro,38360-000,(34) 32630371,crasca2017@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Capitão Andrade,CRAS Capitão Andrade,CRAS,"Rua Augusto Vaz, 298",São José,35123-000,(33) 32319714,cras@capitaoandrade.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Capitão Enéas,CRAS Capitão Enéas,CRAS,"Avenida Nossa Senhora da Guia, 1140",Centro,39472-000,(38) 998092603,pmcecras@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Capitólio,CRAS Jonas Soares Pereira (Capitólio),CRAS,"Rua dos Franciscos, 200",Centro,37930-000,(37) 33731188,crascapitolio@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
